id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
GUOdmtII/,GUOdmtII25,25,26,"Corner,  Valenciennes. Conceded by Jerry Van Dam.",2,,2,Valenciennes,Caen,jerry van dam,jerry van dam,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII26,26,27,"Offside, Caen. Romain Hamouma tries a through ball, but FrA©dA©ric Bulot is caught offside.",9,13.0,1,Caen,Valenciennes,frederic bulot,romain hamouma,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII27,27,27,Foul by Alexandre Raineau (Caen).,3,,1,Caen,Valenciennes,alexandre raineau,,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII28,28,27,RA©mi Gomis (Valenciennes) wins a free kick in the defensive half.,8,,2,Valenciennes,Caen,remi gomis,,,,,,0,2.0,,0,,0
GUOdmtII/,GUOdmtII29,29,28,"Corner,  Valenciennes. Conceded by Alexandre Raineau.",2,,2,Valenciennes,Caen,alexandre raineau,alexandre raineau,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII30,30,29,"Attempt missed. Mathieu Dossevi (Valenciennes) header from a difficult angle on the left is close, but misses the top left corner. Assisted by GaA«l Danic with a cross.",1,12.0,2,Valenciennes,Caen,mathieu dossevi,gael danic,,,12.0,2.0,0,7.0,3.0,2,1.0,0
GUOdmtII/,GUOdmtII31,31,30,"Corner,  Caen. Conceded by Benjamin Angoua.",2,,1,Caen,Valenciennes,benjamin angoua,benjamin angoua,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII32,32,31,Attempt saved. GaA«l Danic (Valenciennes) left footed shot from outside the box is saved in the bottom right corner. Assisted by Mathieu Dossevi.,1,12.0,2,Valenciennes,Caen,gael danic,mathieu dossevi,,,4.0,1.0,0,15.0,2.0,1,1.0,0
GUOdmtII/,GUOdmtII33,33,33,Attempt blocked. Gregory Proment (Caen) left footed shot from outside the box is blocked. Assisted by Benjamin Nivet.,1,12.0,1,Caen,Valenciennes,gregory proment,benjamin nivet,,,2.0,3.0,0,15.0,2.0,1,1.0,0
GUOdmtII/,GUOdmtII34,34,33,"Attempt missed. Pierre-Alain Frau (Caen) header from the centre of the box is close, but misses to the left. Assisted by FrA©dA©ric Bulot with a cross.",1,12.0,1,Caen,Valenciennes,pierrealain frau,frederic bulot,,,8.0,2.0,0,3.0,3.0,2,1.0,0
GUOdmtII/,GUOdmtII35,35,34,"Goal!  Caen 1, Valenciennes 0. Gregory Proment (Caen) right footed shot from outside the box to the top right corner. Assisted by Nicolas Seube.",1,12.0,1,Caen,Valenciennes,gregory proment,nicolas seube,,,13.0,1.0,1,15.0,1.0,1,1.0,0
GUOdmtII/,GUOdmtII36,36,36,"Offside, Valenciennes. GaA«l Danic tries a through ball, but GrA©gory Pujol is caught offside.",9,13.0,2,Valenciennes,Caen,gregory pujol,gael danic,,,,,0,,,0,,0
GUOdmtII/,GUOdmtII37,37,37,Attempt saved. GaA«l Danic (Valenciennes) header from the centre of the box is saved in the top left corner. Assisted by David Ducourtioux with a cross.,1,12.0,2,Valenciennes,Caen,gael danic,david ducourtioux,,,12.0,1.0,0,3.0,3.0,2,1.0,0
GUOdmtII/,GUOdmtII38,38,38,"Corner,  Valenciennes. Conceded by Jerry Van Dam.",2,,2,Valenciennes,Caen,jerry van dam,jerry van dam,,,,,0,,,0,,0
